,City,City_ID,Country,"Date unix, UTC",lon,lat,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
384,Mount Isa,2065594,AU,1608135769,139.5,-20.73,86.0,45,79,5.82
385,Nsanje,924572,MW,1608135769,35.26,-16.92,77.94,86,100,6.98
386,Lac du Bonnet,6014443,CA,1608135770,-96.06,50.25,24.01,92,100,6.93
387,Trincomalee,1226260,LK,1608135770,81.23,8.57,79.93,77,0,5.12
388,Angoche,1052944,MZ,1608135770,39.91,-16.23,83.1,73,17,13.65
389,Horsham,2646557,GB,1608135770,-0.33,51.06,51.01,87,75,9.17
390,Jarocin,3097528,PL,1608135770,17.5,51.97,45.0,95,100,1.05
391,Mahabalipuram,1263997,IN,1608135770,80.17,12.63,82.4,83,75,10.29
392,Kiryat Gat,293842,IL,1608135770,34.76,31.61,59.0,100,97,2.44
393,Codrington,2171099,AU,1608135771,141.97,-38.27,59.77,96,100,5.12
394,Murgab,1218612,TM,1608135771,61.97,37.5,35.6,59,0,13.87
395,Dukat,2125906,RU,1608135771,155.55,62.55,-34.46,82,100,4.97
396,Mangan,1263776,IN,1608135771,88.53,27.52,53.82,39,2,4.99
397,Hadejia,2339631,NG,1608135771,10.04,12.45,89.04,13,5,9.46
398,Mahibadhoo,1337605,MV,1608135771,72.97,3.78,82.65,71,8,8.48
399,Bairiki Village,7601762,KI,1608135772,172.98,1.33,78.8,94,75,5.82
400,Diamantino,3464724,BR,1608135772,-56.45,-14.41,95.47,40,49,1.39
401,Beloha,1067565,MG,1608135772,45.05,-25.17,78.96,56,7,8.28
402,Chemal,1508285,RU,1608135772,86.0,51.41,18.03,90,97,3.11
403,Pochutla,3517970,MX,1608135772,-96.47,15.74,82.99,61,5,2.8
404,Alihe,2038665,CN,1608135550,123.72,50.57,-8.32,86,0,3.62
405,Yeppoon,2142316,AU,1608135772,150.73,-23.13,78.8,78,85,5.82
406,Rundu,3353383,NA,1608135772,19.77,-17.93,90.0,29,47,7.94
407,Ribeira Grande,3372707,PT,1608135772,-28.7,38.52,66.2,82,20,20.8
408,Yako,2353688,BF,1608135773,-2.27,12.97,97.11,11,38,10.67
